start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,oparea_km2,oparea_perc
2023-12-16,3936650,19.1,8130,1.8,7090,7.7,0,0,1040,0.3
2023-12-17,4133250,20.1,15840,3.6,1850,2,3090,11.3,10920,3.5
2023-12-18,3943260,19.2,19160,4.4,0,0,5130,18.7,14040,4.5
2023-12-19,3810980,18.5,20020,4.6,10160,11,510,1.9,8340,2.7
2023-12-20,4072460,19.8,27680,6.3,12120,13.1,510,1.9,13040,4.2
2023-12-21,4219130,20.5,49640,11.3,11070,12,8210,29.9,26840,8.6
2023-12-22,4556100,22.1,65090,14.8,17870,19.3,12270,44.7,31440,10
2023-12-23,4312890,20.9,69540,15.8,18720,20.2,9730,35.5,37570,12
2023-12-24,4420430,21.5,85310,19.4,28250,30.5,10250,37.4,42280,13.5
2023-12-25,4382950,21.3,95100,21.6,30960,33.4,16850,61.4,42260,13.5
2023-12-26,4147300,20.1,97300,22.1,32450,35,20900,76.2,37930,12.1
2023-12-27,3927220,19.1,93790,21.3,40750,44,21420,78.1,25600,8.2
2023-12-28,3574980,17.4,85790,19.5,38630,41.7,20900,76.2,20730,6.6
2023-12-29,3320840,16.1,90020,20.5,42030,45.4,20380,74.3,22080,7
2023-12-30,3070420,14.9,95820,21.8,42220,45.6,21860,79.7,25720,8.2
2023-12-31,2962840,14.4,91640,20.8,43600,47.1,22890,83.5,19120,6.1
2024-01-01,3246890,15.8,111380,25.3,46550,50.3,26930,98.2,31880,10.2
2024-01-02,2980880,14.5,126640,28.8,54000,58.3,27430,100,39190,12.5
2024-01-03,2742950,13.3,146330,33.3,67620,73,27430,100,45250,14.4
2024-01-04,2627840,12.8,161160,36.7,73380,79.2,27430,100,54330,17.3
2024-01-05,2651670,12.9,149970,34.1,73080,78.9,26920,98.2,43950,14
2024-01-06,2898160,14.1,142260,32.4,70750,76.4,25380,92.5,40100,12.8
2024-01-07,3064790,14.9,138040,31.4,67520,72.9,21330,77.8,43170,13.8
2024-01-08,3012260,14.6,132170,30.1,63320,68.4,20810,75.9,42020,13.4
2024-01-09,2893390,14.1,91430,20.8,44650,48.2,24360,88.8,16900,5.4
2024-01-10,2719330,13.2,86410,19.7,44240,47.8,23860,87,12290,3.9
2024-01-11,2737200,13.3,72590,16.5,39020,42.1,18320,66.8,9740,3.1
2024-01-12,2670400,13,60030,13.7,35960,38.8,12240,44.6,7300,2.3
2024-01-13,2645350,12.8,25370,5.8,18060,19.5,510,1.9,4780,1.5
2024-01-14,2563860,12.5,6320,1.4,5800,6.3,510,1.9,0,0
2024-01-15,2502340,12.2,510,0.1,0,0,510,1.9,0,0
2024-01-16,2860820,13.9,0,0,0,0,0,0,0,0
2024-01-17,3343110,16.2,0,0,0,0,0,0,0,0
2024-01-18,3846020,18.7,0,0,0,0,0,0,0,0
2024-01-19,4018940,19.5,0,0,0,0,0,0,0,0
2024-01-20,4250200,20.6,0,0,0,0,0,0,0,0
2024-01-21,4404410,21.4,940,0.2,940,1,0,0,0,0
2024-01-22,4704390,22.8,5670,1.3,5670,6.1,0,0,0,0
2024-01-23,4720180,22.9,8510,1.9,6610,7.1,0,0,1900,0.6
2024-01-24,4268350,20.7,8610,2,8100,8.7,510,1.9,0,0
2024-01-25,3884410,18.9,11450,2.6,11450,12.4,0,0,0,0
2024-01-26,3519090,17.1,7110,1.6,7110,7.7,0,0,0,0
2024-01-27,3502800,17,17190,3.9,11350,12.3,0,0,5840,1.9
2024-01-28,3637040,17.7,17810,4.1,12770,13.8,510,1.9,4530,1.4
2024-01-29,3722790,18.1,32490,7.4,25290,27.3,510,1.9,6190,2
